id,model,num_correct,err_rt,f_err_rt,r_err_rt,r_ans_rt,resp_time,f_resp_time,r_resp_time
participant_0,ACGAN,171.0,0.14500000000000002,0.08999999999999997,0.19999999999999996,0.445,158.68,81.6,77.08
participant_1,ACGAN,182.0,0.08999999999999997,0.06000000000000005,0.12,0.47,260.57,135.27,125.3
participant_2,ACGAN,151.0,0.245,0.17000000000000004,0.31999999999999995,0.425,200.78,95.15,105.63
participant_3,ACGAN,173.0,0.135,0.18999999999999995,0.07999999999999996,0.555,148.79,84.48,64.31
participant_4,ACGAN,191.0,0.04500000000000004,0.050000000000000044,0.040000000000000036,0.505,180.31,89.37,90.94
participant_5,ACGAN,170.0,0.15000000000000002,0.06999999999999995,0.22999999999999998,0.42,162.38,80.74,81.64
participant_6,ACGAN,172.0,0.14,0.08999999999999997,0.18999999999999995,0.45,168.53,88.32,80.21
participant_7,ACGAN,158.0,0.20999999999999996,0.16000000000000003,0.26,0.45,152.14,74.12,78.02
participant_8,ACGAN,149.0,0.255,0.0,0.51,0.245,274.01,107.93,166.08
participant_9,ACGAN,170.0,0.15000000000000002,0.12,0.18000000000000005,0.47,188.82,93.06,95.76
participant_10,ACGAN,184.0,0.07999999999999996,0.030000000000000027,0.13,0.45,126.49,63.1,63.39
participant_11,ACGAN,171.0,0.14500000000000002,0.10999999999999999,0.18000000000000005,0.465,190.12,98.68,91.43
participant_12,ACGAN,167.0,0.16500000000000004,0.16000000000000003,0.17000000000000004,0.495,152.16,74.66,77.5
participant_13,ACGAN,175.0,0.125,0.06999999999999995,0.18000000000000005,0.445,175.34,89.52,85.82
participant_14,ACGAN,159.0,0.20499999999999996,0.30000000000000004,0.10999999999999999,0.595,313.71,104.75,208.95
participant_15,ACGAN,147.0,0.265,0.33999999999999997,0.18999999999999995,0.575,500.24,121.41,378.83
participant_16,ACGAN,146.0,0.27,0.14,0.4,0.37,177.76,87.88,89.87
participant_17,ACGAN,184.0,0.07999999999999996,0.06999999999999995,0.08999999999999997,0.49,170.07,87.09,82.98
participant_18,ACGAN,174.0,0.13,0.10999999999999999,0.15000000000000002,0.48,276.77,142.32,134.45
participant_19,ACGAN,168.0,0.16000000000000003,0.15000000000000002,0.17000000000000004,0.49,246.99,147.12,99.87
participant_20,ACGAN,186.0,0.06999999999999995,0.050000000000000044,0.08999999999999997,0.48,187.34,98.61,88.73
participant_21,ACGAN,187.0,0.06499999999999995,0.020000000000000018,0.10999999999999999,0.455,412.04,201.25,210.79
participant_22,ACGAN,177.0,0.11499999999999999,0.040000000000000036,0.18999999999999995,0.425,163.26,83.36,79.9
participant_23,ACGAN,176.0,0.12,0.13,0.10999999999999999,0.51,194.52,101.09,93.42
participant_24,ACGAN,171.0,0.14500000000000002,0.17000000000000004,0.12,0.525,159.71,80.58,79.12
participant_25,BigGAN,104.0,0.48,0.48,0.48,0.5,388.18,195.85,192.33
participant_26,BigGAN,147.0,0.265,0.18000000000000005,0.35,0.415,296.37,139.68,156.69
participant_27,BigGAN,148.0,0.26,0.32999999999999996,0.18999999999999995,0.57,235.18,128.34,106.84
participant_28,BigGAN,125.0,0.375,0.31999999999999995,0.43000000000000005,0.445,286.22,134.27,151.95
participant_29,BigGAN,97.0,0.515,0.5,0.53,0.485,185.36,153.13,32.23
participant_30,BigGAN,107.0,0.46499999999999997,0.5,0.43000000000000005,0.535,328.09,166.7,161.38
participant_31,BigGAN,115.0,0.42500000000000004,0.48,0.37,0.555,196.41,114.34,82.07
