id,model,num_correct,err_rt,f_err_rt,r_err_rt,r_ans_rt,resp_time,f_resp_time,r_resp_time
participant_0,efficient-vdvae,189.0,0.05500000000000005,0.030000000000000027,0.07999999999999996,0.475,434.27,200.18,234.09
participant_1,efficient-vdvae,191.0,0.04500000000000004,0.040000000000000036,0.050000000000000044,0.495,157.49,76.19,81.3
participant_2,efficient-vdvae,178.0,0.10999999999999999,0.16000000000000003,0.06000000000000005,0.55,165.03,88.07,76.97
participant_3,efficient-vdvae,180.0,0.09999999999999998,0.14,0.06000000000000005,0.54,197.11,91.66,105.45
participant_4,efficient-vdvae,185.0,0.07499999999999996,0.06999999999999995,0.07999999999999996,0.495,198.15,89.89,108.26
participant_5,efficient-vdvae,177.0,0.11499999999999999,0.17000000000000004,0.06000000000000005,0.555,492.29,273.7,218.58
participant_6,efficient-vdvae,187.0,0.06499999999999995,0.09999999999999998,0.030000000000000027,0.535,230.08,110.8,119.28
participant_7,efficient-vdvae,178.0,0.10999999999999999,0.13,0.08999999999999997,0.52,343.67,180.01,163.66
participant_8,efficient-vdvae,198.0,0.010000000000000009,0.010000000000000009,0.010000000000000009,0.5,394.79,165.99,228.8
participant_9,efficient-vdvae,173.0,0.135,0.12,0.15000000000000002,0.485,211.41,103.65,107.75
participant_10,efficient-vdvae,160.0,0.19999999999999996,0.15000000000000002,0.25,0.45,228.18,109.22,118.96
participant_11,efficient-vdvae,161.0,0.19499999999999995,0.13,0.26,0.435,316.45,157.15,159.3
participant_12,efficient-vdvae,187.0,0.06499999999999995,0.10999999999999999,0.020000000000000018,0.545,243.97,120.22,123.76
participant_13,efficient-vdvae,193.0,0.03500000000000003,0.050000000000000044,0.020000000000000018,0.515,457.41,182.98,274.43
participant_14,efficient-vdvae,182.0,0.08999999999999997,0.14,0.040000000000000036,0.55,330.43,207.2,123.22
participant_15,efficient-vdvae,182.0,0.08999999999999997,0.10999999999999999,0.06999999999999995,0.52,374.76,244.78,129.98
participant_16,efficient-vdvae,186.0,0.06999999999999995,0.08999999999999997,0.050000000000000044,0.52,203.08,112.43,90.65
participant_17,efficient-vdvae,167.0,0.16500000000000004,0.16000000000000003,0.17000000000000004,0.495,198.8,103.15,95.65
participant_18,efficient-vdvae,195.0,0.025000000000000022,0.020000000000000018,0.030000000000000027,0.495,227.52,102.71,124.81
participant_19,efficient-vdvae,191.0,0.04500000000000004,0.020000000000000018,0.06999999999999995,0.475,204.07,96.46,107.6
participant_20,efficient-vdvae,190.0,0.050000000000000044,0.06000000000000005,0.040000000000000036,0.51,423.77,188.24,235.53
participant_21,efficient-vdvae,182.0,0.08999999999999997,0.13,0.050000000000000044,0.54,195.99,105.78,90.21
participant_22,efficient-vdvae,188.0,0.06000000000000005,0.040000000000000036,0.07999999999999996,0.48,410.77,218.65,192.12
participant_23,efficient-vdvae,180.0,0.09999999999999998,0.09999999999999998,0.09999999999999998,0.5,137.71,61.99,75.72
participant_24,efficient-vdvae,178.0,0.10999999999999999,0.10999999999999999,0.10999999999999999,0.5,272.01,127.87,144.15
participant_25,insgen,166.0,0.17000000000000004,0.18000000000000005,0.16000000000000003,0.51,372.83,150.31,222.52
participant_26,insgen,131.0,0.345,0.26,0.43000000000000005,0.415,196.96,97.53,99.43
participant_27,insgen,172.0,0.14,0.10999999999999999,0.17000000000000004,0.47,356.15,183.81,172.33
participant_28,insgen,174.0,0.13,0.16000000000000003,0.09999999999999998,0.53,290.76,132.3,158.46
participant_29,insgen,139.0,0.30500000000000005,0.20999999999999996,0.4,0.405,323.49,142.13,181.36
participant_30,insgen,165.0,0.17500000000000004,0.17000000000000004,0.18000000000000005,0.495,266.67,125.51,141.16
