id,model,num_correct,err_rt,f_err_rt,r_err_rt,r_ans_rt,resp_time,f_resp_time,r_resp_time
participant_0,ADM,133.0,0.33499999999999996,0.39,0.28,0.555,228.79,118.01,110.78
participant_1,ADM,169.0,0.15500000000000003,0.13,0.18000000000000005,0.475,829.29,399.16,430.13
participant_2,ADM,156.0,0.21999999999999997,0.33999999999999997,0.09999999999999998,0.62,394.62,178.58,216.04
participant_3,ADM,169.0,0.15500000000000003,0.20999999999999996,0.09999999999999998,0.555,164.49,82.5,81.99
participant_4,ADM,135.0,0.32499999999999996,0.33999999999999997,0.31000000000000005,0.515,267.49,139.42,128.06
participant_5,ADM,158.0,0.20999999999999996,0.24,0.18000000000000005,0.53,527.35,163.1,364.25
participant_6,ADM,153.0,0.235,0.16000000000000003,0.31000000000000005,0.425,156.39,72.93,83.46
participant_7,ADM,146.0,0.27,0.31999999999999995,0.21999999999999997,0.55,312.51,109.54,202.96
participant_8,ADM,121.0,0.395,0.42000000000000004,0.37,0.525,189.76,90.15,99.61
participant_9,ADM,141.0,0.29500000000000004,0.31000000000000005,0.28,0.515,430.82,206.19,224.63
participant_10,ADM,126.0,0.37,0.35,0.39,0.48,445.8,214.3,231.5
participant_11,ADM,160.0,0.19999999999999996,0.16000000000000003,0.24,0.46,252.13,116.0,136.13
participant_12,ADM,159.0,0.20499999999999996,0.18999999999999995,0.21999999999999997,0.485,185.35,94.07,91.27
participant_13,ADM,130.0,0.35,0.29000000000000004,0.41000000000000003,0.44,287.37,135.77,151.6
participant_14,ADM,132.0,0.33999999999999997,0.31000000000000005,0.37,0.47,314.82,152.82,162.01
participant_15,ADM,172.0,0.14,0.08999999999999997,0.18999999999999995,0.45,321.45,146.39,175.06
participant_16,ADM,170.0,0.15000000000000002,0.18999999999999995,0.10999999999999999,0.54,448.25,198.74,249.51
participant_17,ADM,145.0,0.275,0.32999999999999996,0.21999999999999997,0.555,1522.69,713.82,808.87
participant_18,ADM,153.0,0.235,0.36,0.10999999999999999,0.625,274.58,142.82,131.77
participant_19,ADM,154.0,0.22999999999999998,0.31999999999999995,0.14,0.59,184.28,91.22,93.06
participant_20,ADM,124.0,0.38,0.39,0.37,0.51,119.11,50.21,68.9
