id,model,num_correct,err_rt,f_err_rt,r_err_rt,r_ans_rt,resp_time,f_resp_time,r_resp_time
participant_0,admnet-dropout,119.0,0.405,0.49,0.31999999999999995,0.585,306.91,152.06,154.84
participant_1,admnet-dropout,117.0,0.41500000000000004,0.35,0.48,0.435,257.88,116.78,141.1
participant_2,admnet-dropout,142.0,0.29000000000000004,0.30000000000000004,0.28,0.51,333.77,162.47,171.3
participant_3,admnet-dropout,110.0,0.44999999999999996,0.36,0.54,0.41,214.49,103.45,111.04
participant_4,admnet-dropout,163.0,0.18500000000000005,0.24,0.13,0.555,468.61,225.07,243.53
participant_5,admnet-dropout,108.0,0.45999999999999996,0.54,0.38,0.58,429.9,202.47,227.43
participant_6,admnet-dropout,138.0,0.31000000000000005,0.54,0.07999999999999996,0.73,201.33,105.06,96.28
participant_7,admnet-dropout,103.0,0.485,0.47,0.5,0.485,221.44,106.35,115.09
participant_8,admnet-dropout,153.0,0.235,0.19999999999999996,0.27,0.465,430.49,201.1,229.39
participant_9,admnet-dropout,94.0,0.53,0.48,0.5800000000000001,0.45,260.34,126.38,133.96
participant_10,admnet-dropout,110.0,0.44999999999999996,0.47,0.43000000000000005,0.52,138.56,68.33,70.23
participant_11,admnet-dropout,123.0,0.385,0.44999999999999996,0.31999999999999995,0.565,298.04,145.09,152.95
participant_12,admnet-dropout,105.0,0.475,0.5700000000000001,0.38,0.595,294.71,131.05,163.66
participant_13,admnet-dropout,141.0,0.29500000000000004,0.37,0.21999999999999997,0.575,445.78,215.36,230.42
participant_14,admnet-dropout,124.0,0.38,0.53,0.22999999999999998,0.65,332.83,169.13,163.7
participant_15,admnet-dropout,134.0,0.32999999999999996,0.43000000000000005,0.22999999999999998,0.6,278.29,147.42,130.87
participant_16,admnet-dropout,101.0,0.495,0.55,0.43999999999999995,0.555,354.41,138.6,215.81
participant_17,admnet-dropout,151.0,0.245,0.30000000000000004,0.18999999999999995,0.555,318.17,123.09,195.08
participant_18,admnet-dropout,129.0,0.355,0.48,0.22999999999999998,0.625,290.0,136.76,153.24
participant_19,admnet-dropout,133.0,0.33499999999999996,0.51,0.16000000000000003,0.675,195.4,89.72,105.67
participant_20,admnet-dropout,114.0,0.43000000000000005,0.49,0.37,0.56,275.47,138.13,137.34
participant_21,admnet-dropout,105.0,0.475,0.53,0.42000000000000004,0.555,252.84,123.1,129.73
participant_22,admnet-dropout,151.0,0.245,0.27,0.21999999999999997,0.525,340.79,157.81,182.98
participant_23,admnet-dropout,102.0,0.49,0.55,0.43000000000000005,0.56,302.03,179.68,122.34
participant_24,admnet-dropout,95.0,0.525,0.54,0.51,0.515,395.56,198.98,196.57
participant_25,ct2,155.0,0.22499999999999998,0.18999999999999995,0.26,0.465,458.08,228.72,229.35
participant_26,ct2,186.0,0.06999999999999995,0.09999999999999998,0.040000000000000036,0.53,250.03,116.11,133.92
participant_27,ct2,141.0,0.29500000000000004,0.45999999999999996,0.13,0.665,189.2,95.74,93.46
participant_28,ct2,153.0,0.235,0.20999999999999996,0.26,0.475,215.02,96.27,118.75
participant_29,ct2,167.0,0.16500000000000004,0.31000000000000005,0.020000000000000018,0.645,483.09,252.13,230.96
participant_30,ct2,189.0,0.05500000000000005,0.040000000000000036,0.06999999999999995,0.485,243.78,114.71,129.07
participant_31,ct2,164.0,0.18000000000000005,0.33999999999999997,0.020000000000000018,0.66,192.69,106.73,85.96
participant_32,ct2,187.0,0.06499999999999995,0.08999999999999997,0.040000000000000036,0.525,412.06,217.76,194.3
participant_33,ct2,168.0,0.16000000000000003,0.25,0.06999999999999995,0.59,230.51,118.02,112.49
participant_34,ct2,152.0,0.24,0.13,0.35,0.39,674.88,223.09,451.79
participant_35,ct2,178.0,0.10999999999999999,0.08999999999999997,0.13,0.48,365.56,163.57,201.99
participant_36,ct2,198.0,0.010000000000000009,0.010000000000000009,0.010000000000000009,0.5,266.72,113.37,153.35
participant_37,ct2,183.0,0.08499999999999996,0.09999999999999998,0.06999999999999995,0.515,209.72,100.77,108.94
participant_38,ct2,189.0,0.05500000000000005,0.06999999999999995,0.040000000000000036,0.515,257.93,123.24,134.68
participant_39,ct2,174.0,0.13,0.16000000000000003,0.09999999999999998,0.53,223.67,120.92,102.75
participant_40,ct2,128.0,0.36,0.20999999999999996,0.51,0.35,211.85,102.95,108.89
