,model,generated,image_path,number_guesses,number_guesses_generated,soft_label
0,efficient-vdvae,0,img00002420.png,3,0,0.0
1,efficient-vdvae,0,img00040385.png,2,0,0.0
2,efficient-vdvae,0,img00066041.png,1,1,1.0
3,efficient-vdvae,0,img00059971.png,6,0,0.0
4,efficient-vdvae,0,img00038753.png,2,0,0.0
5,efficient-vdvae,0,img00049239.png,2,0,0.0
6,efficient-vdvae,0,img00006706.png,3,1,0.3333333333333333
7,efficient-vdvae,0,img00005780.png,3,0,0.0
8,efficient-vdvae,0,img00062358.png,2,0,0.0
9,efficient-vdvae,0,img00035507.png,2,0,0.0
10,efficient-vdvae,0,img00006232.png,6,1,0.16666666666666666
11,efficient-vdvae,0,img00016242.png,2,0,0.0
12,efficient-vdvae,0,img00024920.png,3,0,0.0
13,efficient-vdvae,0,img00029620.png,1,0,0.0
14,efficient-vdvae,0,img00011972.png,1,0,0.0
15,efficient-vdvae,0,img00046391.png,2,0,0.0
16,efficient-vdvae,0,img00010619.png,2,0,0.0
17,efficient-vdvae,0,img00028218.png,3,0,0.0
18,efficient-vdvae,0,img00033328.png,1,0,0.0
19,efficient-vdvae,0,img00044825.png,2,0,0.0
20,efficient-vdvae,0,img00025016.png,2,0,0.0
21,efficient-vdvae,0,img00060341.png,1,0,0.0
22,efficient-vdvae,0,img00021802.png,4,1,0.25
23,efficient-vdvae,0,img00068538.png,2,0,0.0
24,efficient-vdvae,0,img00004492.png,1,0,0.0
25,efficient-vdvae,0,img00039903.png,4,0,0.0
26,efficient-vdvae,0,img00045591.png,3,0,0.0
27,efficient-vdvae,0,img00032636.png,2,0,0.0
28,efficient-vdvae,0,img00066891.png,1,0,0.0
29,efficient-vdvae,0,img00061069.png,2,0,0.0
30,efficient-vdvae,0,img00024669.png,2,0,0.0
31,efficient-vdvae,0,img00013109.png,2,0,0.0
32,efficient-vdvae,0,img00013600.png,4,0,0.0
33,efficient-vdvae,0,img00023450.png,1,0,0.0
34,efficient-vdvae,0,img00019949.png,2,0,0.0
35,efficient-vdvae,0,img00013088.png,3,0,0.0
36,efficient-vdvae,0,img00010243.png,2,0,0.0
37,efficient-vdvae,0,img00044396.png,2,0,0.0
38,efficient-vdvae,0,img00013260.png,2,2,1.0
39,efficient-vdvae,0,img00065419.png,2,0,0.0
40,efficient-vdvae,0,img00039909.png,1,0,0.0
41,efficient-vdvae,0,img00060571.png,1,0,0.0
42,efficient-vdvae,0,img00006218.png,2,0,0.0
43,efficient-vdvae,0,img00051576.png,4,0,0.0
44,efficient-vdvae,0,img00008032.png,2,0,0.0
45,efficient-vdvae,0,img00006681.png,2,1,0.5
46,efficient-vdvae,0,img00041278.png,3,1,0.3333333333333333
47,efficient-vdvae,0,img00062806.png,1,0,0.0
48,efficient-vdvae,0,img00065716.png,3,0,0.0
49,efficient-vdvae,0,img00056293.png,3,0,0.0
50,efficient-vdvae,0,img00016304.png,4,0,0.0
51,efficient-vdvae,0,img00004164.png,1,0,0.0
52,efficient-vdvae,0,img00054949.png,6,0,0.0
53,efficient-vdvae,0,img00004546.png,2,0,0.0
54,efficient-vdvae,0,img00041370.png,1,0,0.0
55,efficient-vdvae,0,img00039660.png,2,0,0.0
56,efficient-vdvae,0,img00016838.png,1,1,1.0
57,efficient-vdvae,0,img00043866.png,2,0,0.0
58,efficient-vdvae,0,img00020058.png,1,0,0.0
59,efficient-vdvae,0,img00061943.png,1,1,1.0
60,efficient-vdvae,0,img00062167.png,2,0,0.0
61,efficient-vdvae,0,img00053590.png,1,0,0.0
62,efficient-vdvae,0,img00061455.png,3,0,0.0
63,efficient-vdvae,0,img00057770.png,2,0,0.0
64,efficient-vdvae,0,img00005910.png,2,1,0.5
65,efficient-vdvae,0,img00049550.png,1,0,0.0
66,efficient-vdvae,0,img00032988.png,1,0,0.0
67,efficient-vdvae,0,img00013677.png,2,0,0.0
68,efficient-vdvae,0,img00013020.png,4,0,0.0
69,efficient-vdvae,0,img00020755.png,3,0,0.0
70,efficient-vdvae,0,img00053333.png,2,0,0.0
71,efficient-vdvae,0,img00049206.png,4,0,0.0
72,efficient-vdvae,0,img00013732.png,4,0,0.0
73,efficient-vdvae,0,img00009932.png,3,0,0.0
74,efficient-vdvae,0,img00044746.png,2,0,0.0
75,efficient-vdvae,0,img00060810.png,1,0,0.0
76,efficient-vdvae,0,img00065210.png,1,0,0.0
77,efficient-vdvae,0,img00037062.png,1,0,0.0
78,efficient-vdvae,0,img00021364.png,4,1,0.25
79,efficient-vdvae,0,img00012579.png,1,0,0.0
80,efficient-vdvae,0,img00005583.png,1,0,0.0
81,efficient-vdvae,0,img00058329.png,2,0,0.0
82,efficient-vdvae,0,img00052005.png,5,0,0.0
83,efficient-vdvae,0,img00005962.png,2,0,0.0
84,efficient-vdvae,0,img00027128.png,2,0,0.0
85,efficient-vdvae,0,img00042310.png,4,0,0.0
86,efficient-vdvae,0,img00069054.png,2,0,0.0
87,efficient-vdvae,0,img00032709.png,1,0,0.0
88,efficient-vdvae,0,img00061764.png,2,1,0.5
89,efficient-vdvae,0,img00023766.png,3,0,0.0
90,efficient-vdvae,0,img00040444.png,1,0,0.0
91,efficient-vdvae,0,img00055088.png,1,0,0.0
92,efficient-vdvae,0,img00040484.png,1,0,0.0
93,efficient-vdvae,0,img00043596.png,1,0,0.0
94,efficient-vdvae,0,img00014656.png,2,0,0.0
95,efficient-vdvae,0,img00030932.png,1,0,0.0
96,efficient-vdvae,0,img00002434.png,3,0,0.0
97,efficient-vdvae,0,img00058446.png,2,1,0.5
98,efficient-vdvae,0,img00014428.png,2,0,0.0
99,efficient-vdvae,0,img00022284.png,2,0,0.0
100,efficient-vdvae,0,img00037586.png,2,0,0.0
101,efficient-vdvae,0,img00050922.png,1,0,0.0
102,efficient-vdvae,0,img00007101.png,3,0,0.0
103,efficient-vdvae,0,img00011560.png,3,0,0.0
104,efficient-vdvae,0,img00045617.png,4,0,0.0
105,efficient-vdvae,0,img00041694.png,1,0,0.0
106,efficient-vdvae,0,img00025385.png,1,0,0.0
107,efficient-vdvae,0,img00014365.png,3,1,0.3333333333333333
108,efficient-vdvae,0,img00039494.png,2,0,0.0
109,efficient-vdvae,0,img00028185.png,1,0,0.0
110,efficient-vdvae,0,img00060539.png,2,0,0.0
111,efficient-vdvae,0,img00027031.png,1,0,0.0
112,efficient-vdvae,0,img00047783.png,2,0,0.0
