,model,generated,image_path,number_guesses,number_guesses_generated,soft_label
0,ADM,0,337/n02363005_10521.png,1,0,0.0
1,ADM,0,387/n02509815_3659.png,1,0,0.0
2,ADM,0,581/n03459775_9647.png,1,0,0.0
3,ADM,0,235/n02106662_4437.png,1,0,0.0
4,ADM,0,837/n04356056_3381.png,2,0,0.0
5,ADM,0,67/n01755581_7112.png,2,0,0.0
6,ADM,0,586/n03478589_2595.png,3,1,0.3333333333333333
7,ADM,0,981/n09835506_1323.png,3,0,0.0
8,ADM,0,909/n04596742_6070.png,3,0,0.0
9,ADM,0,458/n02892201_31829.png,3,0,0.0
10,ADM,0,449/n02859443_28326.png,2,1,0.5
11,ADM,0,757/n04065272_14076.png,1,0,0.0
12,ADM,0,560/n03379051_2451.png,2,1,0.5
13,ADM,0,207/n02099601_11459.png,2,0,0.0
14,ADM,0,298/n02137549_9639.png,2,0,0.0
15,ADM,0,543/n03255030_29600.png,2,0,0.0
16,ADM,0,634/n03697007_7930.png,1,1,1.0
17,ADM,0,623/n03658185_9763.png,1,1,1.0
18,ADM,0,2/n01484850_19861.png,2,1,0.5
19,ADM,0,298/n02137549_8002.png,2,0,0.0
20,ADM,0,24/n01622779_1423.png,1,0,0.0
21,ADM,0,593/n03494278_38124.png,2,0,0.0
22,ADM,0,322/n02277742_6496.png,1,0,0.0
23,ADM,0,967/n07920052_9409.png,1,0,0.0
24,ADM,0,445/n02837789_9496.png,5,0,0.0
25,ADM,0,286/n02125311_32365.png,2,0,0.0
26,ADM,0,591/n03485794_3808.png,1,0,0.0
27,ADM,0,655/n03770439_2175.png,3,0,0.0
28,ADM,0,537/n03218198_7145.png,2,0,0.0
29,ADM,0,187/n02094433_18001.png,1,0,0.0
30,ADM,0,410/n02727426_4554.png,5,0,0.0
31,ADM,0,901/n04579145_2290.png,3,0,0.0
32,ADM,0,464/n02910353_6678.png,1,0,0.0
33,ADM,0,669/n03788365_2518.png,2,2,1.0
34,ADM,0,287/n02127052_24109.png,4,1,0.25
35,ADM,0,953/n07753275_60832.png,1,1,1.0
36,ADM,0,280/n02120505_9818.png,3,0,0.0
37,ADM,0,26/n01630670_4399.png,2,0,0.0
38,ADM,0,984/n11879895_7616.png,3,0,0.0
39,ADM,0,440/n02823428_2907.png,2,1,0.5
40,ADM,0,998/n13133613_33150.png,1,0,0.0
41,ADM,0,498/n03032252_70986.png,1,1,1.0
42,ADM,0,446/n02840245_1262.png,2,0,0.0
43,ADM,0,446/n02840245_16877.png,1,0,0.0
44,ADM,0,18/n01582220_11073.png,1,0,0.0
45,ADM,0,317/n02259212_2804.png,1,1,1.0
46,ADM,0,256/n02111277_1217.png,3,1,0.3333333333333333
47,ADM,0,905/n04590129_39.png,2,1,0.5
48,ADM,0,990/n12768682_34376.png,1,0,0.0
49,ADM,0,471/n02950826_3324.png,3,0,0.0
50,ADM,0,297/n02134418_5887.png,3,0,0.0
51,ADM,0,491/n03000684_10175.png,2,0,0.0
52,ADM,0,398/n02666196_17249.png,1,0,0.0
53,ADM,0,763/n04086273_6108.png,2,0,0.0
54,ADM,0,163/n02088466_377.png,3,1,0.3333333333333333
55,ADM,0,844/n04372370_20950.png,2,1,0.5
56,ADM,0,815/n04275548_12429.png,2,1,0.5
57,ADM,0,982/n10148035_6542.png,2,0,0.0
58,ADM,0,159/n02087394_8866.png,1,1,1.0
59,ADM,0,878/n04505470_2805.png,1,0,0.0
60,ADM,0,719/n03935335_2314.png,2,0,0.0
61,ADM,0,97/n01847000_12957.png,3,0,0.0
62,ADM,0,739/n03992509_6762.png,3,0,0.0
63,ADM,0,777/n04141327_4317.png,2,2,1.0
64,ADM,0,188/n02095314_4622.png,4,2,0.5
65,ADM,0,134/n02012849_10676.png,2,0,0.0
66,ADM,0,655/n03770439_4766.png,2,1,0.5
67,ADM,0,22/n01614925_4521.png,1,0,0.0
68,ADM,0,432/n02804610_514.png,1,0,0.0
69,ADM,0,783/n04153751_960.png,1,1,1.0
70,ADM,0,981/n09835506_1171.png,2,1,0.5
71,ADM,0,619/n03637318_22026.png,2,1,0.5
72,ADM,0,110/n01924916_16941.png,3,1,0.3333333333333333
73,ADM,0,985/n11939491_2189.png,2,1,0.5
74,ADM,0,539/n03223299_6807.png,4,0,0.0
75,ADM,0,11/n01531178_17914.png,1,0,0.0
76,ADM,0,666/n03786901_7274.png,4,3,0.75
77,ADM,0,600/n03532672_30454.png,2,0,0.0
78,ADM,0,534/n03207941_889.png,3,0,0.0
79,ADM,0,670/n03791053_6472.png,1,1,1.0
80,ADM,0,411/n02730930_22982.png,2,1,0.5
81,ADM,0,379/n02492660_3713.png,3,2,0.6666666666666666
82,ADM,0,483/n02980441_12999.png,3,0,0.0
83,ADM,0,523/n03141823_15403.png,3,2,0.6666666666666666
84,ADM,0,626/n03666591_15472.png,2,0,0.0
85,ADM,0,472/n02951358_8669.png,3,0,0.0
86,ADM,0,157/n02086910_9355.png,2,0,0.0
87,ADM,0,728/n03958227_6037.png,2,0,0.0
88,ADM,0,75/n01774384_10476.png,3,1,0.3333333333333333
89,ADM,0,624/n03661043_5463.png,2,0,0.0
90,ADM,0,657/n03773504_647.png,2,0,0.0
91,ADM,0,649/n03743016_11407.png,2,0,0.0
92,ADM,0,147/n02066245_218.png,4,1,0.25
93,ADM,0,4/n01494475_1027.png,2,0,0.0
94,ADM,0,474/n02963159_8632.png,2,0,0.0
95,ADM,0,42/n01687978_154.png,2,1,0.5
96,ADM,0,53/n01728920_21215.png,2,1,0.5
97,ADM,0,574/n03445777_2123.png,1,1,1.0
98,ADM,0,463/n02909870_3714.png,2,0,0.0
99,ADM,0,857/n04429376_8288.png,2,2,1.0
100,ADM,0,957/n07768694_1070.png,1,0,0.0
101,ADM,0,236/n02107142_14990.png,1,1,1.0
102,ADM,0,240/n02107908_7118.png,2,1,0.5
103,ADM,0,650/n03759954_21427.png,3,0,0.0
104,ADM,0,142/n02033041_1233.png,2,1,0.5
105,ADM,0,712/n03920288_7745.png,4,2,0.5
106,ADM,0,152/n02085782_15713.png,5,0,0.0
107,ADM,0,765/n04099969_18571.png,4,0,0.0
108,ADM,0,358/n02443114_27221.png,2,0,0.0
109,ADM,0,414/n02769748_71971.png,2,1,0.5
110,ADM,0,378/n02492035_12829.png,1,0,0.0
111,ADM,0,437/n02814860_15281.png,3,1,0.3333333333333333
112,ADM,0,912/n04604644_761.png,3,1,0.3333333333333333
113,ADM,0,226/n02105251_5981.png,2,1,0.5
114,ADM,0,351/n02422106_3321.png,1,1,1.0
115,ADM,0,284/n02123597_2009.png,1,0,0.0
116,ADM,0,880/n04509417_441.png,1,0,0.0
117,ADM,0,773/n04131690_10464.png,2,0,0.0
118,ADM,0,376/n02489166_4004.png,1,1,1.0
119,ADM,0,584/n03476684_13717.png,2,0,0.0
120,ADM,0,537/n03218198_1136.png,1,0,0.0
121,ADM,0,209/n02099849_7784.png,4,1,0.25
122,ADM,0,333/n02342885_14070.png,3,2,0.6666666666666666
123,ADM,0,798/n04238763_3620.png,1,1,1.0
124,ADM,0,191/n02096051_1948.png,2,0,0.0
