,model,generated,image_path,number_guesses,number_guesses_generated,soft_label
0,admnet-dropout,0,image03108.png,1,0,0.0
1,admnet-dropout,0,image95889.png,2,0,0.0
2,admnet-dropout,0,image83107.png,3,2,0.6666666666666666
3,admnet-dropout,0,image62104.png,1,1,1.0
4,admnet-dropout,0,image52837.png,3,1,0.3333333333333333
5,admnet-dropout,0,image71189.png,1,1,1.0
6,admnet-dropout,0,image91142.png,3,1,0.3333333333333333
7,admnet-dropout,0,image81207.png,3,2,0.6666666666666666
8,admnet-dropout,0,image63156.png,4,0,0.0
9,admnet-dropout,0,image41494.png,3,2,0.6666666666666666
10,admnet-dropout,0,image94447.png,1,0,0.0
11,admnet-dropout,0,image27181.png,4,0,0.0
12,admnet-dropout,0,image49920.png,2,2,1.0
13,admnet-dropout,0,image90185.png,2,0,0.0
14,admnet-dropout,0,image68422.png,2,1,0.5
15,admnet-dropout,0,image90591.png,2,0,0.0
16,admnet-dropout,0,image64202.png,5,2,0.4
17,admnet-dropout,0,image29270.png,3,1,0.3333333333333333
18,admnet-dropout,0,image15221.png,2,1,0.5
19,admnet-dropout,0,image45244.png,2,1,0.5
20,admnet-dropout,0,image59736.png,3,2,0.6666666666666666
21,admnet-dropout,0,image97346.png,2,0,0.0
22,admnet-dropout,0,image06894.png,1,0,0.0
23,admnet-dropout,0,image89414.png,1,0,0.0
24,admnet-dropout,0,image94570.png,4,1,0.25
25,admnet-dropout,0,image08023.png,3,1,0.3333333333333333
26,admnet-dropout,0,image26908.png,2,0,0.0
27,admnet-dropout,0,image36177.png,1,0,0.0
28,admnet-dropout,0,image33127.png,3,3,1.0
29,admnet-dropout,0,image85690.png,2,0,0.0
30,admnet-dropout,0,image18666.png,3,3,1.0
31,admnet-dropout,0,image53548.png,3,1,0.3333333333333333
32,admnet-dropout,0,image41194.png,2,2,1.0
33,admnet-dropout,0,image69119.png,3,0,0.0
34,admnet-dropout,0,image41017.png,1,1,1.0
35,admnet-dropout,0,image35612.png,1,1,1.0
36,admnet-dropout,0,image75768.png,3,0,0.0
37,admnet-dropout,0,image55787.png,2,1,0.5
38,admnet-dropout,0,image34955.png,2,1,0.5
39,admnet-dropout,0,image91785.png,2,0,0.0
40,admnet-dropout,0,image10230.png,1,0,0.0
41,admnet-dropout,0,image46960.png,1,1,1.0
42,admnet-dropout,0,image67720.png,1,0,0.0
43,admnet-dropout,0,image21736.png,1,0,0.0
44,admnet-dropout,0,image90075.png,1,0,0.0
45,admnet-dropout,0,image95510.png,1,0,0.0
46,admnet-dropout,0,image32633.png,1,0,0.0
47,admnet-dropout,0,image55046.png,1,0,0.0
48,admnet-dropout,0,image47398.png,3,1,0.3333333333333333
49,admnet-dropout,0,image65920.png,4,3,0.75
50,admnet-dropout,0,image23013.png,1,1,1.0
51,admnet-dropout,0,image61002.png,1,0,0.0
52,admnet-dropout,0,image09629.png,2,0,0.0
53,admnet-dropout,0,image61938.png,2,0,0.0
54,admnet-dropout,0,image88078.png,4,0,0.0
55,admnet-dropout,0,image96467.png,1,0,0.0
56,admnet-dropout,0,image13216.png,2,2,1.0
57,admnet-dropout,0,image63019.png,2,0,0.0
58,admnet-dropout,0,image14396.png,1,1,1.0
59,admnet-dropout,0,image59762.png,2,1,0.5
60,admnet-dropout,0,image36222.png,3,1,0.3333333333333333
61,admnet-dropout,0,image14479.png,1,0,0.0
62,admnet-dropout,0,image59748.png,3,3,1.0
63,admnet-dropout,0,image23034.png,1,0,0.0
64,admnet-dropout,0,image78901.png,2,2,1.0
65,admnet-dropout,0,image44040.png,3,1,0.3333333333333333
66,admnet-dropout,0,image84330.png,5,5,1.0
67,admnet-dropout,0,image01841.png,4,1,0.25
68,admnet-dropout,0,image60362.png,4,2,0.5
69,admnet-dropout,0,image80634.png,2,0,0.0
70,admnet-dropout,0,image03586.png,2,1,0.5
71,admnet-dropout,0,image06090.png,2,0,0.0
72,admnet-dropout,0,image34558.png,2,0,0.0
73,admnet-dropout,0,image67057.png,2,1,0.5
74,admnet-dropout,0,image81251.png,2,0,0.0
75,admnet-dropout,0,image30636.png,3,1,0.3333333333333333
76,admnet-dropout,0,image03493.png,1,0,0.0
77,admnet-dropout,0,image05237.png,1,0,0.0
78,admnet-dropout,0,image28864.png,3,3,1.0
79,admnet-dropout,0,image52178.png,5,3,0.6
80,admnet-dropout,0,image60064.png,3,1,0.3333333333333333
81,admnet-dropout,0,image08538.png,4,1,0.25
82,admnet-dropout,0,image11855.png,3,1,0.3333333333333333
83,admnet-dropout,0,image73910.png,2,1,0.5
84,admnet-dropout,0,image30383.png,1,0,0.0
85,admnet-dropout,0,image17469.png,2,0,0.0
86,admnet-dropout,0,image57704.png,2,1,0.5
87,admnet-dropout,0,image03511.png,1,0,0.0
88,admnet-dropout,0,image50569.png,2,0,0.0
89,admnet-dropout,0,image54084.png,3,2,0.6666666666666666
90,admnet-dropout,0,image15749.png,4,0,0.0
91,admnet-dropout,0,image18307.png,2,0,0.0
92,admnet-dropout,0,image07766.png,2,1,0.5
93,admnet-dropout,0,image39815.png,4,0,0.0
94,admnet-dropout,0,image19198.png,1,0,0.0
95,admnet-dropout,0,image83679.png,3,1,0.3333333333333333
96,admnet-dropout,0,image03853.png,1,0,0.0
97,admnet-dropout,0,image92793.png,2,0,0.0
98,admnet-dropout,0,image73531.png,3,1,0.3333333333333333
99,admnet-dropout,0,image17708.png,2,1,0.5
100,admnet-dropout,0,image96282.png,2,1,0.5
101,admnet-dropout,0,image22889.png,3,1,0.3333333333333333
102,admnet-dropout,0,image56520.png,1,0,0.0
103,admnet-dropout,0,image82584.png,4,0,0.0
104,admnet-dropout,0,image27314.png,2,1,0.5
105,admnet-dropout,0,image92058.png,5,2,0.4
106,admnet-dropout,0,image55596.png,4,1,0.25
107,admnet-dropout,0,image90487.png,1,1,1.0
108,admnet-dropout,0,image72663.png,4,1,0.25
109,admnet-dropout,0,image79083.png,2,0,0.0
110,admnet-dropout,0,image44191.png,3,1,0.3333333333333333
111,admnet-dropout,0,image98897.png,1,0,0.0
112,admnet-dropout,0,image90247.png,4,1,0.25
113,admnet-dropout,0,image68471.png,4,1,0.25
114,admnet-dropout,0,image80086.png,3,1,0.3333333333333333
